ISO,Country,Water,Sanitation
SWE,Sweden,100,99.30353361
CHE,Switzerland,100,99.89104203
SYR,Syrian Arab Republic,96.74485039,92.94715294
TJK,Tajikistan,74.13972956,95.49214151
THA,Thailand,98.23114483,95.01129717
MKD,The former Yugoslav Republic of Macedonia,96.77404592,90.91120301
TLS,Timor-Leste,70.22330007,44.01105596
TGO,Togo,62.81763777,13.94848231
TKL,Tokelau,99.52877345,93.06652123
TON,Tonga,99.90588051,93.46756406
TTO,Trinidad and Tobago,96.94055907,92.14651868
TUN,Tunisia,94.23021796,93.1278284
TUR,Turkey,98.89935342,96.37269351
TKM,Turkmenistan,94.45457734,96.56707336
TCA,Turks and Caicos Islands,94.31818182,87.98863636
TUV,Tuvalu,99.257736,91.41039809
UGA,Uganda,38.92146587,19.15095459
UKR,Ukraine,97.73177956,95.93784236
ARE,United Arab Emirates,99.63076458,99.97720052
GBR,United Kingdom,100,99.11270947
TZA,United Republic of Tanzania,50.14528001,23.53406597
VIR,United States Virgin Islands,99.9964,97.59876782
USA,United States of America,99.20043461,99.96955086
URY,Uruguay,99.24911101,95.6749109
UZB,Uzbekistan,-,100
VUT,Vanuatu,90.50425522,53.46828554
VEN,Venezuela (Bolivarian Republic of),97.41722394,94.93438957
VNM,Viet Nam,91.19176624,78.23744781
WLF,Wallis and Futuna Islands,99.55927642,99.12197798
PSE,West Bank and Gaza Strip,87.64586102,95.95164871
ESH,Western Sahara,-,-
YEM,Yemen,70.35886323,59.68267989
ZMB,Zambia,61.22530759,31.11180988
ZWE,Zimbabwe,66.56310131,38.58861882
